primary_role_id,role_ids,RBMIdLength,RBMId,Count of name
RO177,RO76,25,NHSNoReply15SeftonRN84035,1
RO177,RO76,25,NHSNoReply1MontonMPP87620,1
RO177,RO76,25,NHSNoReply1SalfordMP87004,1
RO177,RO76,25,NHSNoReply240WexhamK81645,1
RO177,RO76,25,NHSNoReply3SpringfiP87024,1
RO177,RO76,25,NHSNoReply42KingswaN84001,1
RO177,RO76,25,NHSNoReply49MarineAA87006,1
RO177,RO76,25,NHSNoReply4SeasonsMN81645,1
RO177,RO76,25,NHSNoReplyAbbamoorSF82670,1
RO177,RO76,25,NHSNoReplyAbbeyDaleP81714,1
RO177,RO76,25,NHSNoReplyAbbeyFielF81095,1
RO177,RO76,25,NHSNoReplyAbbeyGranB86068,1
RO177,RO76,25,NHSNoReplyAbbeyHsMPK83032,1
RO177,RO76,25,NHSNoReplyAbbeyMeadJ83035,1
RO177,RO76,25,NHSNoReplyAbbeyRdMPF84111,1
RO177,RO76,25,NHSNoReplyAbbeyRdSgA82010,1
RO177,RO76,25,NHSNoReplyAbbeyRdSgE82042,1
RO177,RO76,25,NHSNoReplyAbbeySgryL83101,1
RO177,RO76,25,NHSNoReplyAbbeysladG83631,1
RO177,RO76,25,NHSNoReplyAbbeyviewC83617,1
RO177,RO76,25,NHSNoReplyAbbeywellJ82145,1
RO177,RO76,25,NHSNoReplyAbbeyWoodG83031,1
RO177,RO76,25,NHSNoReplyAbbotsBroM83059,1
RO177,RO76,25,NHSNoReplyAbbotsburE86022,1
RO177,RO76,25,NHSNoReplyAbbotswooE82105,1
RO177,RO76,25,NHSNoReplyAbbottswoM81046,1
RO177,RO76,25,NHSNoReplyAbercrombN82054,1
RO177,RO76,25,NHSNoReplyAbercwmboW95087,1
RO177,RO76,25,NHSNoReplyAbercynonW95042,1
RO177,RO76,25,NHSNoReplyAberfeldyF84698,1
RO177,RO76,25,NHSNoReplyAbernethyF85029,1
RO177,RO76,25,NHSNoReplyAbertilleW93075,1
RO177,RO76,25,NHSNoReplyAbingdonFN82086,1
RO177,RO76,25,NHSNoReplyAbingdonHE87701,1
RO177,RO76,25,NHSNoReplyAbingdonSK84054,1
RO177,RO76,25,NHSNoReplyAbingtonMK83043,1
RO177,RO76,25,NHSNoReplyAbingtonPK83029,1
RO177,RO76,25,NHSNoReplyAbridgeSgF81184,1
RO177,RO76,25,NHSNoReplyAccringtoY02605,1
RO177,RO76,25,NHSNoReplyAcocksGreM85736,1
RO177,RO76,25,NHSNoReplyAcornGaumG85006,1
RO177,RO76,25,NHSNoReplyAcornSgryD81633,1
RO177,RO76,25,NHSNoReplyAcrefieldE86615,1
RO177,RO76,25,NHSNoReplyActonLnMPE85687,1
RO177,RO76,25,NHSNoReplyActonTownE85617,1
RO177,RO76,25,NHSNoReplyAdderleyGM83661,1
RO177,RO76,25,NHSNoReplyAdderLnSgA84614,1
RO177,RO76,25,NHSNoReplyAddinghamB83620,1
RO177,RO76,25,NHSNoReplyAddingtonE83044,1
RO177,RO76,25,NHSNoReplyAddingtonG84017,1
RO177,RO76,25,NHSNoReplyAddingtonH83028,1
RO177,RO76,25,NHSNoReplyAddisonHsF81181,1
RO177,RO76,25,NHSNoReplyAddisonRdF86607,1
RO177,RO76,25,NHSNoReplyAdelaideMF83020,1
RO177,RO76,25,NHSNoReplyAdelaideMJ82053,1
RO177,RO76,25,NHSNoReplyAdelaideSL83651,1
RO177,RO76,25,NHSNoReplyAdelaideSP81042,1
RO177,RO76,25,NHSNoReplyAdlerJsSgE83600,1
RO177,RO76,25,NHSNoReplyAdlingtonP81740,1
RO177,RO76,25,NHSNoReplyAdshallRdP88014,1
RO177,RO76,25,NHSNoReplyAdurHthPtH82023,1
RO177,RO76,25,NHSNoReplyAelfgarSgM83738,1
RO177,RO76,25,NHSNoReplyAilsaCraiP84009,1
RO177,RO76,25,NHSNoReplyAilsworthD81618,1
RO177,RO76,25,NHSNoReplyAinsdaleMN84012,1
RO177,RO76,25,NHSNoReplyAinsdaleVN84014,1
RO177,RO76,25,NHSNoReplyAintreePaN82053,1
